S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2013-2014,Pondicherry,285130067,Adecom Network,No.9 Raja Singh StreetPost Box No.233605001,3370257.05
2,2013-2014,Pondicherry,285130102,Alliance Francaise De Pondicherry,58 Rue Suffren StreetPondicherry605001,3541945.89
3,2013-2014,Pondicherry,285130078,Anbalayam,140 Villinur Road Moolakulam PondicherryPondicherry-605010,6632594.58
4,2013-2014,Pondicherry,285130049,Apsara,70 V V P Nagar  Pondicherry-,0.00
5,2013-2014,Pondicherry,285130031,Atelier Shanti,20 Lazar Koil Street DubrayapetPondicherry-605001,0.00
6,2013-2014,Pondicherry,285130107,Best Foundation,62 First Floor Villianur Road MulakulamPondicherry605010,0.00
7,2013-2014,Pondicherry,285130026,Bon Secours Convent,Rangapillai Street  Pondicherry-,0.00
8,2013-2014,Pondicherry,285150001,Carmel Convent Cluny, Karaikal Pondicherry-609602,558625.00
9,2013-2014,Pondicherry,285130022,Centre for Education Rehabilitation and Treatment of the Handicapped,181 Gingee Salai DubarayapetPondicherry-605001,5794660.50
10,2013-2014,Pondicherry,285150007,Community Collective Society for Integrated Development,34 Neela Kidangu Street KaraikalPondicherry-609602,13123344.58
11,2013-2014,Pondicherry,285130050,Community Sewa Centre,No-2 Villikrishna illam IIIrd  Cross Kasthuribaigandhi St NetajiNagar-I Ullalam Pondicherry-605001,5655482.00
12,2013-2014,Pondicherry,285130020,Congregation Sisters of St. Joseph Cluny,Post Box 87  Pondicherry-,8169255.74
13,2013-2014,Pondicherry,285130058,Dipti Trust,No.8 St.Gilles Street Sh Aurobindo Ashram POPondicherry-605002,1401523.00
14,2013-2014,Pondicherry,285130041,Don Bosco Boys Home,Thattanchavady  Pondicherry-605009,10751216.14
15,2013-2014,Pondicherry,285130101,EMMAUS ASIA SOCIETY,"NO.43 FIFTH CROSS STREET 
HEALTH EMPLOYEES COLONY
NAINARMANDAPAMPONDICHERRY605004",7814671.80
16,2013-2014,Pondicherry,285130085,EMPOWERMENT FOUNDATION,Soorya Udayam Illam-Habitat Mariaman Koil StreetOdhiyampattu Village Villianur Commune,1721423.00
17,2013-2014,Pondicherry,285130074,Foundation for Ecological Research Advocacy and Learning,No.27 2nd Cross Appavounagar VazhakulamPondicherry-605012,10243382.00
18,2013-2014,Pondicherry,285130091,FOUNDATION FOR LOW INCOME GROUP AND SOCIAL HEALTH,No.166 Subbiah Nagar ThattanchavadyPondicherry605009,0.00
19,2013-2014,Pondicherry,285130018,Franciscan Sisters of Saint Aloysius Gonzaga,Door No. 6 ST.ANGE STREETPONDICHERRY -605001,4596136.52
20,2013-2014,Pondicherry,285130072,Holistic approach for People's Empowerment(HOPE),Plot NO. 106 M.G.R. Nagar 100Feet Road MudaliarpetPondicherry-605004,499758.00
21,2013-2014,Pondicherry,285130014,Hospice Convent,2 Laporte Street  Pondicherry-605001,60000.00
22,2013-2014,Pondicherry,285130009,Immaculate Boarding Convent,St. Therese Street  Pondicherry. -605001,1273428.00
23,2013-2014,Pondicherry,285130011,Immaculate Heart of Mary Convent,Visitation Calanthottam AriyankuppamPondicherry-605007,0.00
24,2013-2014,Pondicherry,285130033,Immaculate Heart of Mary Convent, MuthialpetPondicherry-605003,0.00
25,2013-2014,Pondicherry,285130027,Immaculate Heart of Mary Social Service Society,Uppalam Road Colas NagarPondicherry-605001,9668747.00
26,2013-2014,Pondicherry,285130017,Immaculate Heart of Mary Society,Nirmala Novitiate Pakkamudayanpet Pondicherry. -605008,4150479.23
