S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2015-2016,Pondicherry,285130067,Adecom Network,No.9 Raja Singh StreetPost Box No.233605001,3560373.65
2,2015-2016,Pondicherry,285130102,Alliance Francaise De Pondicherry,58 Rue Suffren StreetPondicherry605001,320616.66
3,2015-2016,Pondicherry,285130078,Anbalayam,140 Villinur Road Moolakulam PondicherryPondicherry-605010,7945533.41
4,2015-2016,Pondicherry,285130031,Atelier Shanti,20 Lazar Koil Street DubrayapetPondicherry-605001,0.00
5,2015-2016,Pondicherry,285130107,Best Foundation,62 First Floor Villianur Road MulakulamPondicherry605010,0.00
6,2015-2016,Pondicherry,285130026,Bon Secours Convent,Rangapillai Street  Pondicherry-,0.00
7,2015-2016,Pondicherry,285150001,Carmel Convent Cluny, Karaikal Pondicherry-609602,140263.00
8,2015-2016,Pondicherry,285130022,Centre for Education Rehabilitation and Treatment of the Handicapped,181 Gingee Salai DubarayapetPondicherry-605001,5010676.00
9,2015-2016,Pondicherry,285150007,Community Collective Society for Integrated Development,34 Neela Kidangu Street KaraikalPondicherry-609602,6510478.14
10,2015-2016,Pondicherry,285130050,Community Sewa Centre,No-2 Villikrishna illam IIIrd  Cross Kasthuribaigandhi St NetajiNagar-I Ullalam Pondicherry-605001,7378601.00
11,2015-2016,Pondicherry,285130020,Congregation Sisters of St. Joseph Cluny,Post Box 87  Pondicherry-,8601161.71
12,2015-2016,Pondicherry,285130058,Dipti Trust,No.8 St.Gilles Street Sh Aurobindo Ashram POPondicherry-605002,30603.00
13,2015-2016,Pondicherry,285130041,Don Bosco Boys Home,Thattanchavady  Pondicherry-605009,6418016.00
14,2015-2016,Pondicherry,285130101,EMMAUS ASIA SOCIETY,"NO.43 FIFTH CROSS STREET 
HEALTH EMPLOYEES COLONY
NAINARMANDAPAMPONDICHERRY605004",3941131.12
15,2015-2016,Pondicherry,285130085,EMPOWERMENT FOUNDATION,Soorya Udayam Illam-Habitat Mariaman Koil StreetOdhiyampattu Village Villianur Commune,1182889.66
16,2015-2016,Pondicherry,285130074,Foundation for Ecological Research Advocacy and Learning,No.27 2nd Cross Appavounagar VazhakulamPondicherry-605012,6589576.00
17,2015-2016,Pondicherry,285130091,FOUNDATION FOR LOW INCOME GROUP AND SOCIAL HEALTH,No.166 Subbiah Nagar ThattanchavadyPondicherry605009,0.00
18,2015-2016,Pondicherry,285130018,Franciscan Sisters of Saint Aloysius Gonzaga,Door No. 6 ST.ANGE STREETPONDICHERRY -605001,15158770.35
19,2015-2016,Pondicherry,285130072,Holistic approach for People's Empowerment(HOPE),Plot NO. 106 M.G.R. Nagar 100Feet Road MudaliarpetPondicherry-605004,1548827.00
20,2015-2016,Pondicherry,285130014,Hospice Convent,2 Laporte Street  Pondicherry-605001,0.00
21,2015-2016,Pondicherry,285130009,Immaculate Boarding Convent,St. Therese Street  Pondicherry. -605001,3523089.00
22,2015-2016,Pondicherry,285130011,Immaculate Heart of Mary Convent,Visitation Calanthottam AriyankuppamPondicherry-605007,664100.00
