S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2011-2012,Jharkhand,337680005,Aanteeka,Behind S.B.I.(S.T.C.) Barmasia B. DeogharJharkhand-814112,129925.00
2,2011-2012,Jharkhand,337800152,Abhinav Kala Kendra,Vikas Nagar Road NO.-8 Latma Road Hatia RanchiJharkhand.-834003,0.00
3,2011-2012,Jharkhand,337730011,Abhinav Samaj Sevashram,Village- Dasedih P.O.-Doranda Distt- GirdihJharkhand-825412,0.00
4,2011-2012,Jharkhand,337840006,Abhinav Vikas Seva Samiti,P.O Barwadih LateharJharkhand-,0.00
5,2011-2012,Jharkhand,337730023,Abhivyakti Foundation,Himani Bhawan Besides Barganda Sub Post Office New Barganda GiridihGiridih815301,1167900.00
6,2011-2012,Jharkhand,337800192,ACET SWAROJGAR SANGH,Jerath CompoundMain Road HinooRanchi834002,0.00
7,2011-2012,Jharkhand,337710007,Action for Women and Rural Development (AWARD),Sahijana Maore GarhwaJharkhand-822114,0.00
8,2011-2012,Jharkhand,337660029,Adarsh Gram Vikas Seva Samiti,Vill. Nawadih Post- NawadihBokaro Steel City829144,0.00
9,2011-2012,Jharkhand,337820013,Adarsh Seva Sansthan,Opp. 4th Phase Adarsh Nagar Sonari JamshedpurJharkhand-,4721653.00
10,2011-2012,Jharkhand,337660001,Adhunik Mahila Utthan Samiti,Qr. No. 3-201 Sector-2-D Street-6 Bokaro Steel CityBokaro-827001,200000.00
11,2011-2012,Jharkhand,337740024,ADIVASI MAHILA SAMAJ SEVA KENDRA MAJHATOLI,Regd off Vill and P.O. - karaundhi  District - Gumla State - JharkhandGumla835207,0.00
12,2011-2012,Jharkhand,337820065,ADIVASI MAHILA VIKAS SAMITI,AT-FULDUNGI P.O GHATSILAEAST SINGHBHUM832303,0.00
13,2011-2012,Jharkhand,337730019,Adivasi Navkiran Seva Sansthan,Khambarand P.O.-Gandey GiridihJharkhand.-815312,28000.00
14,2011-2012,Jharkhand,337820012,Adivasi Pichri Jati Vikas Parishad,Gunda  P.O. Seema Gunda West SinghbhumJharkhand- 83240,0.00
15,2011-2012,Jharkhand,337800122,Agrarian Assistance Association Trust,At Post Maheshpur P S Angara RanchiJharkhand-835104,0.00
16,2011-2012,Jharkhand,337700004,Agrartian Assistance Association,P O Bandarjuri Chowk Near Forest Range OfficeDumka814101,1425521.00
17,2011-2012,Jharkhand,337700020,Agricultural Integrated Development Project,Koroya Madhuadih Via- Guhiajori DumkaJharkhand-814101,0.00
18,2011-2012,Jharkhand,337800083,Agricultural Training Centre,Namkum RanchiJharkhand-834010,322081.00
19,2011-2012,Jharkhand,337700011,Aid Foundation(All India Institute of Development Foundation),Jarmundi DumkaJharkhand-814141,0.00
20,2011-2012,Jharkhand,337680065,AJIWIKA SOCIETY,Behind SBI Training CentreDeoghar814112,0.00
21,2011-2012,Jharkhand,337820027,Akhil Bhartiya Adivasi Vikas Mandal,Manoharpur Vill. & P.O. Manoharpur West SinghbhumJharkhand-833104,0.00
22,2011-2012,Jharkhand,337800075,Akhil Bhartiya Sajal Shraddha Samudayik Vikas Samiti,B-29Sctor-IIIPO.Dhurwa RanchiJharkhand-834004,0.00
23,2011-2012,Jharkhand,337790028,Alternative Development Society,Baralota Bye-Pass Road PO-Sudna Town/City/Distt.: DaltonganjJharkhand-822101,0.00
24,2011-2012,Jharkhand,337760004,AMAN,EAST CHITRAGUPT NAGARBYE PASS ROADJHUMARI TELAIYAKODERMA825409,0.00
25,2011-2012,Jharkhand,337800042,Amar Jyoti Society,Preriton Ki Rani Sadan Panchuati Railway ColonyRanchi-Jharkhandd-834001,9422464.34
26,2011-2012,Jharkhand,337730014,Ambedkar Social Institute,Bhandaridih (Behind Vet. Hospital) GirdihJharkhand-815301,336600.00
27,2011-2012,Jharkhand,337820036,Amma Research Centre,321 Road No. 7 Sonari West New lay Out JamsedhpurSinghbhum (E) Jharkhand-831011,0.00
28,2011-2012,Jharkhand,337800115,Aniketa Ascharya Charitable Foundation,Metro Lane  Ratu Road RanchiJharkhand-834001,0.00
29,2011-2012,Jharkhand,337740009,Animation Rural Outreach Society,Arouse Society Sasai Road Post- + Distt.- GumlaJharkhand-835207,13639343.00
30,2011-2012,Jharkhand,337750034,Anupam Mahila Chetna Samiti,Ravindra Path HazaribaghJharkhand-825301,165310.00
31,2011-2012,Jharkhand,337660025,ANUPAMA SEWASHRAM,TARA GUPTA BHAWAN INDRAPURI ROAD ROAD NO. - 3 RATU ROADRANCHI834005,0.00
32,2011-2012,Jharkhand,337800198,Arohi Anusuchit Jati Avam Janjati Mahila Vikas Parisad,93 Anandpur P.o.-DorandaRanchi834002,0.00
33,2011-2012,Jharkhand,337810003,As-Salam Educational Centre,At.PO-Shrikhund(Gumani) Via- BarharwaSahibganj-Jharkhand-811601,17024590.92
34,2011-2012,Jharkhand,337800144,ASHA,Association for Social and Human Awareness. H.NO.A/21 Kishan SinghColony Station Road Ranchi-834001-834001,1415014.00
35,2011-2012,Jharkhand,337680043,Ashray,Dangalpara P.O. Madhupur Madhupur Distt. DeogharJharkhand-815353,0.00
36,2011-2012,Jharkhand,337800195,ASIAN INSTITUTE FOR SUSTAINABLE DEVELOPMENT,SREENIBAS ASHA SHREE GARDEN ROAD MORABADIRANCHI834008,0.00
37,2011-2012,Jharkhand,337820066,ATUR BANDHAB MISSION,AT-PARDIH CHAWK NH-33PO-MANGOJAMSHEDPUR831012,0.00
38,2011-2012,Jharkhand,337790002,Auranga Gramin Vikas Samiti,Tumbagara P.O. Ranki KalaPalamau-822126,1018240.00
39,2011-2012,Jharkhand,337660027,Ayo Aidari Trust,Manika Sadan Karharbil Jahertola PO- ShivpaharDist-Dumka.Dumka814101,885486.00
40,2011-2012,Jharkhand,337830005,Badlao Foundation,Near Chittaranjan Railway StationMihijam815354,8144919.96
41,2011-2012,Jharkhand,337750088,BANBASI MAHILA KENDRA,VILL - PO- AARAKATA KUJURAMGARH825316,0.00
42,2011-2012,Jharkhand,337730004,Banvasi Vikas Ashram,Vill+Post- Atkaa Via Bagoder Dist. GiridhJharkhand-815316,391979.00
