S.No,Year,State,Registration No,Association name,Address,Amount of FC Received
1,2011-2012,Manipur,194130323,ABUNDANT LIFE MINISTRY,LAMNENGTE INNFIRST STREET NEW NAMBULAND795001,0.00
2,2011-2012,Manipur,194130092,Action For Welfare Awakening In Rural Environment,Thangmeiband Imphal  Manipur-795001,0.00
3,2011-2012,Manipur,194140057,Action of Women in Development,Wino BazarUkhrul795142,1098960.00
4,2011-2012,Manipur,020780133,AGAPE CHRISTIAN OUTREACH MISSION INDIA,"ANUGRAHA NIWAS. RATENPHAI WW II OLD WORKSHOP
LEIKAI. P.O. PALLEL. CHANDEL DISTRICT. MANIPUR
795135.CHANDEL795135",0.00
5,2011-2012,Manipur,194160059,Agape Museum,Post Box 110Opposite Tuibuong Petrol PumpChurachandpur,0.00
6,2011-2012,Manipur,194130248,Agent for Social Change (ASOC),C/O  Principal Prima Donna English High School Thangmeiband LilashingKhongnangkhongImphal Manipur-795010,0.00
7,2011-2012,Manipur,194130272,Agricultural Development Organisation,Canchipur Manipur University Com- plex ImphalImphal West (Manipur)-795003,0.00
8,2011-2012,Manipur,194140014,Alice Christian High School, UkhrulManipur-795142,0.00
9,2011-2012,Manipur,194130187,All Manipur Management Of Development Training & Research Centre,Vripok Khoirnarileikai ImphalManipur.-,0.00
10,2011-2012,Manipur,194130095,All Manipur Mentally Handicapped Welfare Organisation,Keishamthong Imphal Manipur-795001,0.00
11,2011-2012,Manipur,194130061,All Manipur Womens' Association,Keishamthong Imphal  Manipur-795001,0.00
12,2011-2012,Manipur,194130294,All Women and Child Development,Chingamathak First Floor Electricity BuildingImphal West(Manipur)-795001,0.00
13,2011-2012,Manipur,194160080,Amazing Grace Ministry Asia,Bijang Vengnom P. O. Box - 161Churachandpur795128,194201.84
14,2011-2012,Manipur,194180003,Analon Christian Development Committee,Anallon Christian Institute CampusLambung795127,951958.00
15,2011-2012,Manipur,194190006,Apunba Mahei Shanglem,Ishok PO Nambol BishnupurManipur-795134,0.00
16,2011-2012,Manipur,194190023,ASSOCIATION FOR RURAL DEVELOPMENT AND WOMEN EMPOWERMENT,KeinouP.O. Nambol795135,1621500.00
17,2011-2012,Manipur,194130278,Association for Social Advancement and Resource Authority,Awang Sekmai Imphal West DistrictAndhra Pradesh-795136,0.00
18,2011-2012,Manipur,194150063,Association For Welfare And Rural development,Church road ColonySenapati795106,0.00
19,2011-2012,Manipur,194170024,Assumption Parish,Catholic Church New Awangkhul  B.p.o.-lamphalpatTamenglong Manipur-795004,0.00
20,2011-2012,Manipur,194130348,Auxiliary Service for Human Affairs,H.O. Asha Yaiphakol Sagolmang Bazar P.O. PangeiImphal795114,0.00
21,2011-2012,Manipur,194130042,Awang Jiri Nupi Marup,Nambol  ImphalManipur-795134,0.00
22,2011-2012,Manipur,194130235,Backward and Rural Welfare Society,Uripok Khaidem Leikai Imphal West DistrictManipur-795001,0.00
23,2011-2012,Manipur,194130054,Bashikong Chanura Sinlon Lup,Ningom Thongjao ImphalManipur-,0.00
24,2011-2012,Manipur,194160057,Bethany Christian Institute,Post Box No.-23 Family LaneChuruchandpur Manipur-795128,0.00
25,2011-2012,Manipur,194130241,Care Foundation,Chassad Avenue Imphal East DistrictManipur-795001,2566209.00
26,2011-2012,Manipur,194130220,Catholic Educational Society,Archibishops House ImphalManipur-795002,7009873.00
27,2011-2012,Manipur,194130109,Catholic Medical Centre,Koirengi ImphalManipur-795001,4430382.00
28,2011-2012,Manipur,194160092,Centre for Community Initiative,Zuihnuam Road College Veng New LamkaChurachandpur795128,0.00
29,2011-2012,Manipur,194200059,Centre for Development Activities,Near Indo-Myanmar Road WangjingManipur.-795148,0.00
30,2011-2012,Manipur,194150067,Centre for Information and Technology in Rural Areas,Selsi Motbung P.O. MotbungSenapati795107,0.00
31,2011-2012,Manipur,194130018,Centre for Mental Hygiene,Sangaipren Airport Road ImphalManipur-795001,0.00
32,2011-2012,Manipur,194130155,Centre For Organisation Research & Education,Paona Road Imphal Manipur-795001,1129200.00
33,2011-2012,Manipur,194130072,Centre For Social Development,Palace Compound Imphal Manipur-795001,19235247.00
34,2011-2012,Manipur,194130359,Centre for Women Development,Keishamthong Elangbam Leikai P.O. Imphal Imphal West DistrictImphal795001,0.00
